year,biomass,ssb
1977,	774,160
1978,	966,	162
1979,	1431,	174
1980,	1954,	238
1981,	2871,	243
1982,	3284,	352
1983,	2941,	521
1984,	2459,	591
1985,	1848,	547
1986,	1483,	462
1987,	1703,	396
1988,	1714,	380
1989,	1594,	400
1990,	1370,	381
1991,	1498,	374
1992,	1795,	341
1993,	1605,	369
1994,	1332,	412
1995,	1113,	370
1996,	910,	328
1997,	939,	279
1998,	849,	213
1999,	672,	193
2000,	588,	179
2001,	539,	173
2002,	679,	144
2003,	796,	134
2004,	699,	141
2005,	582,	178
2006,	496,	182
2007,	485,	162
2008,	723,	161
2009,	1067,	163
2010,	1269,	230
2011,	1203,	279
2012,	1105,	306
2013,	1074,	340
